0.755362,1.46015,-1.04961,1.09574,-0.72792,2.67754,1
-0.537367,2.73636,1.05917,3.43607,-2.38103,2.75489,1
1.15657,1.06483,0.0148945,2.68315,0.895251,1.64619,1
0.549014,1.63242,0.777145,4.16011,3.16208,4.174,0
-0.13818,-0.103065,6.574,5.11927,2.61152,-3.36023,2
-1.63789,-1.73756,7.63281,4.89741,0.997803,-2.44743,2
9.89814,2.92458,-0.685705,1.13167,5.12914,2.82364,3
-0.63918,-2.35782,6.26217,4.86362,3.82324,-3.31156,2
5.25597,7.87445,2.64652,-1.91129,1.36367,6.11351,4
-0.563463,-2.97179,6.32781,5.11158,3.56197,-2.49073,2
0.245266,1.5468,-0.182162,3.06926,0.350585,2.8175,1
-1.38529,-2.18976,4.31229,4.88916,1.92037,-3.1859,2
4.51394,10.2545,4.15824,-1.24909,-0.14089,7.06639,4
-1.33747,-2.53039,5.60836,4.94867,3.50394,-1.88047,2
-0.506136,1.40898,-1.10964,2.09714,-0.892044,1.63895,1
4.24803,9.38132,4.37273,-2.07802,0.262249,7.76198,4
4.10873,8.49526,2.24635,-2.4384,-0.17132,7.66972,4
4.47723,8.69077,2.49157,-1.83334,0.288295,6.27148,4
8.10123,1.99705,-1.73607,2.6916,4.54389,3.96513,3
0.255386,0.946125,-0.345115,2.63697,-1.45454,3.14631,1
9.17868,5.46917,5.59727,4.44675,-1.7141,3.23026,0
9.67541,3.86736,-3.80451,0.630568,4.03072,3.1547,3
1.41852,-2.2629,6.51967,5.18928,3.67785,-1.7283,2
8.80381,3.32886,-3.98015,0.498271,4.92846,2.35668,3
5.19451,8.62384,3.48987,-2.78287,-1.10527,5.56143,4
0.324275,1.91575,0.634081,4.34079,-1.79659,3.31137,1
4.87317,8.26558,3.0739,-3.2517,0.114741,7.69722,4
-0.382211,2.98167,-0.648373,2.31395,0.395225,2.06273,1
4.96808,7.87661,2.89266,-1.58451,1.33869,6.52844,4
11.4642,4.32676,-1.53968,3.24423,6.73946,3.78114,3
7.75855,0.103062,0.772861,0.39801,10.8834,-0.236348,0
9.13033,3.28238,-0.494518,1.61517,5.0414,2.5273,3
9.8328,4.84674,-3.15509,0.580097,4.20105,1.01957,3
3.92399,8.31116,4.10174,-1.18397,-0.290505,7.68352,4
9.02487,3.18124,-3.29265,-0.181579,3.36323,3.942,3
4.6683,8.20386,3.43975,-0.558856,-1.04127,5.51759,4
